Program Areas,https://fas.calendar.utoronto.ca/listing-program-subject-areas
Program Search,https://fas.calendar.utoronto.ca/search-programs
Course Search,https://fas.calendar.utoronto.ca/search-courses
Message from the Dean,https://fas.calendar.utoronto.ca/message-dean
Important Notices,https://fas.calendar.utoronto.ca/important-notices
Admission,https://fas.calendar.utoronto.ca/admission
Sessional Dates,https://fas.calendar.utoronto.ca/sessional-dates
Student Services & Resources,https://fas.calendar.utoronto.ca/student-services-resources
"Degree Requirements (H.B.A., H.B.Sc., BCom)",https://fas.calendar.utoronto.ca/degree-requirements-hba-hbsc-bcom
Guide to Program & Course Descriptions,https://fas.calendar.utoronto.ca/guide-program-course-descriptions
Rules & Regulations,https://fas.calendar.utoronto.ca/rules-regulations
About the University and the Faculty,https://fas.calendar.utoronto.ca/about-university-and-faculty
The Colleges,https://fas.calendar.utoronto.ca/colleges
Student Services & Resources,https://fas.calendar.utoronto.ca/listing-program-subject-areas#off-canvas-menu
Academic and Personal Counselling,https://fas.calendar.utoronto.ca/student-services-resources#counselling
Services and Programs for Students,https://fas.calendar.utoronto.ca/student-services-resources#services-programs
Professional Experience Year,https://fas.calendar.utoronto.ca/student-services-resources#PEY
The Jack McClelland Writer-In-Residence,https://fas.calendar.utoronto.ca/student-services-resources#writer
Student Unions and Associations,https://fas.calendar.utoronto.ca/student-services-resources#unions
First-Year Learning Communities,https://fas.calendar.utoronto.ca/student-services-resources#FLC
Awards,https://fas.calendar.utoronto.ca/student-services-resources#awards
International Opportunities,https://fas.calendar.utoronto.ca/student-services-resources#intl
Rules & Regulations,https://fas.calendar.utoronto.ca/listing-program-subject-areas#off-canvas-menu
Registration,https://fas.calendar.utoronto.ca/rules-regulations#registration
Taking Course Outside the Faculty,https://fas.calendar.utoronto.ca/rules-regulations#outside
Course Loads,https://fas.calendar.utoronto.ca/rules-regulations#course-loads
Cancelling Courses or Registration,https://fas.calendar.utoronto.ca/rules-regulations#cancelling
Fees,https://fas.calendar.utoronto.ca/rules-regulations#fees
Course Marks,https://fas.calendar.utoronto.ca/rules-regulations#marks
Exams,https://fas.calendar.utoronto.ca/rules-regulations#exams
Credit/No Credit (CR/NCR),https://fas.calendar.utoronto.ca/rules-regulations#cnc
Late Withdrawal (LWD),https://fas.calendar.utoronto.ca/rules-regulations#LWD
Extra Courses,https://fas.calendar.utoronto.ca/rules-regulations#extra
Grading Regulations and GPA,https://fas.calendar.utoronto.ca/rules-regulations#grading
Academic Standing,https://fas.calendar.utoronto.ca/rules-regulations#standing
Appeals & Petitions,https://fas.calendar.utoronto.ca/rules-regulations#appeals-petitions
Reassessment of Marks,https://fas.calendar.utoronto.ca/rules-regulations#appeals-petitions
Student Records,https://fas.calendar.utoronto.ca/rules-regulations#records
University of Toronto Regulations and Policies,https://fas.calendar.utoronto.ca/rules-regulations#policies
The Colleges,https://fas.calendar.utoronto.ca/listing-program-subject-areas#off-canvas-menu
Innis College,https://fas.calendar.utoronto.ca/colleges#Innis
New College,https://fas.calendar.utoronto.ca/colleges#New
St. Michael's College,https://fas.calendar.utoronto.ca/colleges#SMC
Trinity College,https://fas.calendar.utoronto.ca/colleges#Trinity
University College,https://fas.calendar.utoronto.ca/colleges#UC
Victoria College,https://fas.calendar.utoronto.ca/colleges#Victoria
Woodsworth College,https://fas.calendar.utoronto.ca/colleges#Woodsworth
Skip to main content,https://fas.calendar.utoronto.ca/listing-program-subject-areas#main-content
Close,https://fas.calendar.utoronto.ca/listing-program-subject-areas#
Faculty of Arts & Science Calendar,https://fas.calendar.utoronto.ca/
A,https://fas.calendar.utoronto.ca/listing-program-subject-areas#A
B,https://fas.calendar.utoronto.ca/listing-program-subject-areas#B
C,https://fas.calendar.utoronto.ca/listing-program-subject-areas#C
D,https://fas.calendar.utoronto.ca/listing-program-subject-areas#D
E,https://fas.calendar.utoronto.ca/listing-program-subject-areas#E
F,https://fas.calendar.utoronto.ca/listing-program-subject-areas#F
G,https://fas.calendar.utoronto.ca/listing-program-subject-areas#G
H,https://fas.calendar.utoronto.ca/listing-program-subject-areas#H
I,https://fas.calendar.utoronto.ca/listing-program-subject-areas#I
J,https://fas.calendar.utoronto.ca/listing-program-subject-areas#J
L,https://fas.calendar.utoronto.ca/listing-program-subject-areas#L
M,https://fas.calendar.utoronto.ca/listing-program-subject-areas#M
N,https://fas.calendar.utoronto.ca/listing-program-subject-areas#N
P,https://fas.calendar.utoronto.ca/listing-program-subject-areas#P
R,https://fas.calendar.utoronto.ca/listing-program-subject-areas#R
S,https://fas.calendar.utoronto.ca/listing-program-subject-areas#S
T,https://fas.calendar.utoronto.ca/listing-program-subject-areas#T
U,https://fas.calendar.utoronto.ca/listing-program-subject-areas#U
